Models,Engine Siz,Fuel,Engine Co,Years
"BMW 1 Series 120I","2.0 litre",Petrol,"N43 B20 A, N46 B20 A, N46 B20 B, N46 B20 BD, N46 B20 C, N46 B20 CC","2000 - 2015"
"BMW 1 Series 116I","1.6 litre",Petrol,"N43 B20 A, N46 B20 A, N46 B20 B, N46 B20 BD, N46 B20 C, N46 B20 CC, N45 B16 A","2002 - 2011"
"BMW 1 Series 120D","2.0 litre",Diesel,"B47 D20 A, M47 D20 (204D4), N47 D20 A, N47 D20 C","2001 - 2020"
"BMW 1 Series 116I","2.0 litre",Petrol,"B47 D20 A, M47 D20 (204D4), N47 D20 A, N47 D20 C, N43 B20 A","2004 - 2013"
"BMW 1 Series 116I","1.6 litre",Petrol,"B47 D20 A, M47 D20 (204D4), N47 D20 A, N47 D20 C, N43 B20 A, N43 B16 A","2007 - 2011"
"BMW 1 Series 116I","1.5 litre",Petrol,"B47 D20 A, M47 D20 (204D4), N47 D20 A, N47 D20 C, N43 B20 A, N43 B16 A, B38 B15 A","2015 - 2019"
"BMW 1 Series 118D","2.0 litre",Diesel,"B47 D20 A, M47 D20 (204D4), N47 D20 A, N47 D20 C","2001 - 2020"
"BMW 1 Series 116I","1.6 litre",Petrol,"B47 D20 A, M47 D20 (204D4), N47 D20 A, N47 D20 C, N13 B16 A","2011 - 2016"
"BMW 1 Series 120I","2.0 litre",Petrol/Ethanol,"B47 D20 A, M47 D20 (204D4), N47 D20 A, N47 D20 C, N13 B16 A, B48 B20 A","2015 - 2020"
"BMW 1 Series 120I","2.0 litre",Petrol,"B47 D20 A, M47 D20 (204D4), N47 D20 A, N47 D20 C, N13 B16 A, B48 B20 A, B48 B20 B","2015 - 2020"
"BMW 1 Series M1","3.0 litre",Petrol,"N52 B30 A, N52 B30 AF, N52 B30 B, N52 B30 BF","2004 - 2015"
"BMW 1 Series M1","3.0 litre",Petrol,"N52 B30 A, N52 B30 AF, N52 B30 B, N52 B30 BF, N54 B30 A","2006 - 2016"
"BMW 1 Series 130I","3.0 litre",Petrol,"N52 B30 A, N52 B30 B, N52 B30 BF","2004 - 2015"
"BMW 1 Series 125I","2.0 litre",Petrol/Ethanol,"N52 B30 A, N52 B30 B, N52 B30 BF, N20 B20 A","2010 - 2019"
"BMW 1 Series 135I","3.0 litre",Petrol,"N54 B30 A, N55 B30 A","2006 - 2019"
"BMW 1 Series 116D","2.0 litre",Diesel,"N47 D20 A, N47 D20 C","2004 - 2019"
"BMW 1 Series 116D","1.5 litre",Diesel,"N47 D20 A, N47 D20 C, B37 D15 A","2015 - 2019"
"BMW 1 Series 116D","1.6 litre",Diesel,"N47 D20 A, N47 D20 C, B37 D15 A, N47 D16 A","2011 - 2015"
"BMW 1 Series 125D","2.0 litre",Diesel,"B47 D20 B, N47 D20 D","2007 - 2019"
"BMW 1 Series M 140I","3.0 litre",Petrol,"B47 D20 B, N47 D20 D, B58 B30 A","2015 - 2020"
